CBSeg2003,CBSeg2003Description,Station,Latitude,Longitude,EventId,Source,SampleType,SampleDate,SampleDepth,SampleReplicate,ReportedParameter,ReportedValue,ReportedUnits,WQMethod
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,7.09,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,95.6,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,15.16,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,4.3,M1,DO,7.14,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,4.3,M1,DO_SAT_P,96.4,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11502,37.97499,-76.0725,215593.0,VERSAR/EME/BEL,ISM,8/31/2004,4.3,M1,SALINITY,15.16,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,6.84,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,91.1,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,14.23,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,DO,6.86,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,DO_SAT_P,91.4,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11504,38.04179,-75.9562,215596.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,SALINITY,14.25,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,6.63,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,88.5,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,14.54,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,11.0,M1,DO,6.42,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,11.0,M1,DO_SAT_P,85.7,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11503,38.03049,-75.9347,215599.0,VERSAR/EME/BEL,ISM,8/31/2004,11.0,M1,SALINITY,14.62,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,6.92,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,92.2,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,14.37,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,16.2,M1,DO,6.17,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,16.2,M1,DO_SAT_P,82.3,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11526,37.98509,-75.9075,215602.0,VERSAR/EME/BEL,ISM,8/31/2004,16.2,M1,SALINITY,15.02,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11505,38.06309,-75.921,215605.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,7.09,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11505,38.06309,-75.921,215605.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,94.8,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11505,38.06309,-75.921,215605.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,14.5,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11505,38.06309,-75.921,215605.0,VERSAR/EME/BEL,ISM,8/31/2004,3.6,M1,DO,7.19,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11505,38.06309,-75.921,215605.0,VERSAR/EME/BEL,ISM,8/31/2004,3.6,M1,DO_SAT_P,96.1,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11505,38.06309,-75.921,215605.0,VERSAR/EME/BEL,ISM,8/31/2004,3.6,M1,SALINITY,14.5,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11509,38.14489,-75.9704,215608.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,7.62,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11509,38.14489,-75.9704,215608.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,101.4,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11509,38.14489,-75.9704,215608.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,12.94,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11509,38.14489,-75.9704,215608.0,VERSAR/EME/BEL,ISM,8/31/2004,4.1,M1,DO,7.64,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11509,38.14489,-75.9704,215608.0,VERSAR/EME/BEL,ISM,8/31/2004,4.1,M1,DO_SAT_P,101.6,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11509,38.14489,-75.9704,215608.0,VERSAR/EME/BEL,ISM,8/31/2004,4.1,M1,SALINITY,12.98,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11510,38.16489,-75.9746,215611.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,7.43,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11510,38.16489,-75.9746,215611.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,99.0,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11510,38.16489,-75.9746,215611.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,12.29,PSU,F01 
TANMH ,Tangier Sound-Mesohaline Region,11510,38.16489,-75.9746,215611.0,VERSAR/EME/BEL,ISM,8/31/2004,12.9,M1,DO,6.46,MG/L,F01 
TANMH ,Tangier Sound-Mesohaline Region,11510,38.16489,-75.9746,215611.0,VERSAR/EME/BEL,ISM,8/31/2004,12.9,M1,DO_SAT_P,85.6,PCT,F01 
TANMH ,Tangier Sound-Mesohaline Region,11510,38.16489,-75.9746,215611.0,VERSAR/EME/BEL,ISM,8/31/2004,12.9,M1,SALINITY,13.54,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11513,38.30809,-76.3727,215578.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,5.88,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11513,38.30809,-76.3727,215578.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,77.1,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11513,38.30809,-76.3727,215578.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,12.3,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11513,38.30809,-76.3727,215578.0,VERSAR/EME/BEL,ISM,8/31/2004,8.1,M1,DO,6.01,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11513,38.30809,-76.3727,215578.0,VERSAR/EME/BEL,ISM,8/31/2004,8.1,M1,DO_SAT_P,78.8,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11513,38.30809,-76.3727,215578.0,VERSAR/EME/BEL,ISM,8/31/2004,8.1,M1,SALINITY,12.42,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11508,38.13969,-76.1675,215581.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,6.33,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11508,38.13969,-76.1675,215581.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,83.5,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11508,38.13969,-76.1675,215581.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,13.73,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11508,38.13969,-76.1675,215581.0,VERSAR/EME/BEL,ISM,8/31/2004,8.0,M1,DO,6.35,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11508,38.13969,-76.1675,215581.0,VERSAR/EME/BEL,ISM,8/31/2004,8.0,M1,DO_SAT_P,83.8,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11508,38.13969,-76.1675,215581.0,VERSAR/EME/BEL,ISM,8/31/2004,8.0,M1,SALINITY,13.74,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11507,38.11099,-76.1348,215584.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,7.18,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11507,38.11099,-76.1348,215584.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,95.3,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11507,38.11099,-76.1348,215584.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,13.7,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11507,38.11099,-76.1348,215584.0,VERSAR/EME/BEL,ISM,8/31/2004,7.4,M1,DO,7.2,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11507,38.11099,-76.1348,215584.0,VERSAR/EME/BEL,ISM,8/31/2004,7.4,M1,DO_SAT_P,95.6,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11507,38.11099,-76.1348,215584.0,VERSAR/EME/BEL,ISM,8/31/2004,7.4,M1,SALINITY,13.69,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11501,37.97199,-76.1125,215590.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,6.77,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11501,37.97199,-76.1125,215590.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,90.0,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11501,37.97199,-76.1125,215590.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,14.38,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11501,37.97199,-76.1125,215590.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,DO,6.78,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11501,37.97199,-76.1125,215590.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,DO_SAT_P,90.1,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11501,37.97199,-76.1125,215590.0,VERSAR/EME/BEL,ISM,8/31/2004,7.1,M1,SALINITY,14.38,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11512,38.25529,-76.2409,215614.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,6.39,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11512,38.25529,-76.2409,215614.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,84.2,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11512,38.25529,-76.2409,215614.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,12.9,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11512,38.25529,-76.2409,215614.0,VERSAR/EME/BEL,ISM,8/31/2004,6.6,M1,DO,6.35,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11512,38.25529,-76.2409,215614.0,VERSAR/EME/BEL,ISM,8/31/2004,6.6,M1,DO_SAT_P,83.6,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11512,38.25529,-76.2409,215614.0,VERSAR/EME/BEL,ISM,8/31/2004,6.6,M1,SALINITY,12.92,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11514,38.31059,-76.2733,215617.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO,8.01,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11514,38.31059,-76.2733,215617.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,DO_SAT_P,106.6,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11514,38.31059,-76.2733,215617.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SALINITY,12.24,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11514,38.31059,-76.2733,215617.0,VERSAR/EME/BEL,ISM,8/31/2004,3.8,M1,DO,8.0,MG/L,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11514,38.31059,-76.2733,215617.0,VERSAR/EME/BEL,ISM,8/31/2004,3.8,M1,DO_SAT_P,106.3,PCT,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11514,38.31059,-76.2733,215617.0,VERSAR/EME/BEL,ISM,8/31/2004,3.8,M1,SALINITY,12.24,PSU,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11513,38.30809,-76.3727,215578.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SPCOND,20610.0,UMHOS/CM,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11513,38.30809,-76.3727,215578.0,VERSAR/EME/BEL,ISM,8/31/2004,8.1,M1,SPCOND,20780.0,UMHOS/CM,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11508,38.13969,-76.1675,215581.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SPCOND,22780.0,UMHOS/CM,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11508,38.13969,-76.1675,215581.0,VERSAR/EME/BEL,ISM,8/31/2004,8.0,M1,SPCOND,22790.0,UMHOS/CM,F01 
CB5MH ,Chesapeake Bay-Mesohaline Region,11507,38.11099,-76.1348,215584.0,VERSAR/EME/BEL,ISM,8/31/2004,0.5,M1,SPCOND,22740.0,UMHOS/CM,F01 
